2021-49-09 18:49:03.690 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Starting MedicalStoreManagementSystemApplication using Java 1.8.0_291 on LTIN195005 with PID 3968 (C:\Users\908143\eclipse-workspace-06\medical-store-management-system\target\classes started by 908143 in C:\Users\908143\eclipse-workspace-06\medical-store-management-system)
2021-49-09 18:49:03.691 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - No active profile set, falling back to default profiles: default
2021-49-09 18:49:04.306 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-49-09 18:49:04.403 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2021-49-09 18:49:04.939 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8998 (http)
2021-49-09 18:49:04.940 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-49-09 18:49:04.941 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-49-09 18:49:04.976 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-49-09 18:49:04.977 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1280 ms
2021-49-09 18:49:05.058 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-49-09 18:49:05.069 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Starting...
2021-49-09 18:49:05.070 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-49-09 18:49:05.149 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Start completed.
2021-49-09 18:49:05.150 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2021-49-09 18:49:05.469 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-49-09 18:49:05.470 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
